Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Atalanta,27,26.5,50.1,38,418,3420,38.0,46,35,81,43,3,3,83,1,41.4,39.2,30.5,69.7,595,1264,1.21,0.92,2.13,1.13,2.05,1.09,0.8,1.89,1.03,1.83
vs Bologna,27,26.6,45.3,38,418,3420,38.0,46,29,75,39,7,9,84,2,48.7,41.7,31.6,73.3,565,1294,1.21,0.76,1.97,1.03,1.79,1.28,0.83,2.11,1.1,1.93
vs Cremonese,33,26.6,57.9,38,418,3420,38.0,68,46,114,63,5,5,66,1,66.1,62.2,49.1,111.2,763,1615,1.79,1.21,3.0,1.66,2.87,1.74,1.29,3.03,1.64,2.93
vs Empoli,32,26.7,52.7,38,418,3420,38.0,48,32,80,44,4,6,84,5,58.3,53.7,40.7,94.4,830,1684,1.26,0.84,2.11,1.16,2.0,1.53,1.07,2.6,1.41,2.48
vs Fiorentina,30,26.4,43.9,38,418,3420,38.0,41,28,69,34,7,8,103,7,43.4,37.4,30.7,68.1,476,922,1.08,0.74,1.82,0.89,1.63,1.14,0.81,1.95,0.98,1.79
vs Hellas Verona,36,26.6,58.8,38,418,3420,38.0,56,48,104,55,1,2,69,5,49.9,48.4,39.2,87.6,603,1494,1.47,1.26,2.74,1.45,2.71,1.31,1.03,2.35,1.27,2.3
vs Inter,25,26.5,44.3,38,418,3420,38.0,39,34,73,36,3,3,89,1,36.5,34.1,29.0,63.1,697,1227,1.03,0.89,1.92,0.95,1.84,0.96,0.76,1.72,0.9,1.66
vs Juventus,29,26.7,50.4,38,418,3420,38.0,33,25,58,29,4,5,74,2,41.6,37.7,31.4,69.1,744,1357,0.87,0.66,1.53,0.76,1.42,1.09,0.83,1.92,0.99,1.82
vs Lazio,24,26.5,47.9,38,418,3420,38.0,29,21,50,28,1,2,108,7,41.3,39.8,31.5,71.3,598,1302,0.76,0.55,1.32,0.74,1.29,1.09,0.83,1.92,1.05,1.88
vs Lecce,29,26.7,58.7,38,418,3420,38.0,43,30,73,38,5,6,90,2,42.4,38.0,31.8,69.7,613,1408,1.13,0.79,1.92,1.0,1.79,1.12,0.84,1.95,1.0,1.84
vs Milan,30,26.7,44.4,38,418,3420,38.0,42,32,74,38,4,5,113,1,41.1,37.2,31.0,68.2,546,1168,1.11,0.84,1.95,1.0,1.84,1.08,0.82,1.9,0.98,1.8
vs Monza,31,26.4,44.8,38,418,3420,38.0,51,32,83,48,3,3,78,5,51.3,49.0,38.0,87.0,768,1449,1.34,0.84,2.18,1.26,2.11,1.35,1.0,2.35,1.29,2.29
vs Napoli,27,26.4,38.2,38,418,3420,38.0,28,18,46,27,1,2,92,4,31.8,30.2,24.6,54.8,509,1013,0.74,0.47,1.21,0.71,1.18,0.84,0.65,1.48,0.8,1.44
vs Roma,30,26.6,51.4,38,418,3420,38.0,37,26,63,35,2,3,124,8,32.3,30.0,21.9,51.9,635,1362,0.97,0.68,1.66,0.92,1.61,0.85,0.58,1.43,0.79,1.37
vs Salernitana,30,26.6,55.1,38,418,3420,38.0,62,40,102,55,7,11,74,6,67.1,58.0,44.7,102.7,770,1624,1.63,1.05,2.68,1.45,2.5,1.77,1.18,2.94,1.53,2.7
vs Sampdoria,40,26.7,53.9,38,418,3420,38.0,69,53,122,61,8,11,79,1,66.3,57.9,47.6,105.5,723,1603,1.82,1.39,3.21,1.61,3.0,1.75,1.25,3.0,1.52,2.78
vs Sassuolo,31,26.5,50.8,38,418,3420,38.0,59,44,103,55,4,4,86,4,49.7,47.1,38.7,85.8,672,1349,1.55,1.16,2.71,1.45,2.61,1.31,1.02,2.33,1.24,2.26
vs Spezia,34,27.0,52.6,38,418,3420,38.0,59,41,100,54,5,7,61,2,59.5,54.0,43.2,97.2,671,1440,1.55,1.08,2.63,1.42,2.5,1.57,1.14,2.7,1.42,2.56
vs Torino,28,26.6,46.8,38,418,3420,38.0,41,28,69,36,5,6,66,1,40.0,35.3,28.2,63.5,524,1100,1.08,0.74,1.82,0.95,1.68,1.05,0.74,1.79,0.93,1.67
vs Udinese,30,26.8,52.0,38,418,3420,38.0,46,32,78,40,6,7,86,3,51.8,46.7,36.5,83.1,631,1462,1.21,0.84,2.05,1.05,1.89,1.36,0.96,2.32,1.23,2.19
