Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Atalanta,29,38.0,647,414,330,249,68,270,556,48.6,286,457,125,332,340,987,704,12
vs Bologna,28,38.0,633,377,282,259,92,322,615,52.4,293,514,131,383,306,939,554,15
vs Cagliari,29,38.0,558,327,275,213,70,220,457,48.1,237,355,110,245,251,809,809,8
vs Empoli,34,38.0,589,334,286,243,60,285,511,55.8,226,396,126,270,261,850,674,9
vs Fiorentina,30,38.0,608,382,323,218,67,277,556,49.8,279,440,147,293,272,880,887,14
vs Frosinone,34,38.0,697,407,365,265,67,349,646,54.0,297,427,120,307,302,999,620,18
vs Genoa,34,38.0,493,298,230,198,65,200,393,50.9,193,339,88,251,271,764,677,11
vs Hellas Verona,36,38.0,545,307,248,242,55,261,513,50.9,252,350,89,261,215,760,656,15
vs Inter,27,38.0,420,231,206,161,53,190,385,49.4,195,435,141,294,291,711,803,11
vs Juventus,31,38.0,576,319,271,227,78,269,528,50.9,259,408,150,258,273,849,741,12
vs Lazio,22,38.0,512,303,239,211,62,269,541,49.7,272,441,122,319,318,830,702,16
vs Lecce,26,38.0,636,381,286,270,80,279,578,48.3,299,369,137,232,274,910,667,14
vs Milan,35,38.0,617,370,292,239,86,324,683,47.4,359,397,138,259,270,887,687,6
vs Monza,31,38.0,481,304,211,199,71,216,432,50.0,216,405,133,272,259,740,594,4
vs Napoli,29,38.0,637,393,351,215,71,344,671,51.3,327,443,179,264,285,922,823,10
vs Roma,30,38.0,489,321,217,190,82,218,439,49.7,221,410,128,282,282,771,753,7
vs Salernitana,39,38.0,573,349,243,258,72,269,481,55.9,212,407,115,292,294,867,629,7
vs Sassuolo,30,38.0,584,340,271,240,73,252,529,47.6,277,358,131,227,285,869,752,12
vs Torino,30,38.0,519,311,255,220,44,247,491,50.3,244,344,114,230,291,810,702,3
vs Udinese,32,38.0,649,394,302,250,97,314,650,48.3,336,368,127,241,249,898,582,11
