Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Atalanta,29,38.0,19961,18129,1769,439,42,124,710,772,210,103,67,1,16051,63,382
Bologna,28,38.0,22504,20652,1797,523,32,137,510,755,165,100,51,1,19125,55,414
Cagliari,29,38.0,14709,12744,1901,505,34,134,852,804,175,46,111,2,10731,64,308
Empoli,34,38.0,15348,13346,1920,550,36,53,672,795,176,52,92,0,11571,82,331
Fiorentina,30,38.0,19975,18072,1846,542,50,146,748,813,199,45,104,1,16180,57,360
Frosinone,34,38.0,17545,15536,1961,525,50,55,524,800,213,69,63,3,13740,48,352
Genoa,34,38.0,15765,13987,1731,487,21,72,610,695,142,50,73,3,12053,47,309
Hellas Verona,36,38.0,14710,12799,1850,538,24,153,724,761,143,37,86,0,10639,61,318
Inter,27,38.0,22447,20739,1631,439,61,165,804,655,228,96,94,0,19136,77,351
Juventus,31,38.0,18079,16332,1675,397,35,156,708,695,193,53,106,0,14757,72,320
Lazio,22,38.0,21071,19202,1797,474,53,85,624,748,197,68,93,0,17462,72,367
Lecce,26,38.0,15397,13439,1902,527,27,96,650,771,172,73,57,0,11742,56,282
Milan,35,38.0,20741,19060,1624,455,49,94,660,617,192,66,77,0,17656,57,296
Monza,31,38.0,19870,18182,1648,458,21,125,584,612,170,29,107,0,16734,40,322
Napoli,29,38.0,22942,20996,1875,519,44,232,737,805,240,81,104,3,19517,71,312
Roma,30,38.0,20523,18783,1674,471,40,106,654,663,167,82,71,0,17066,66,321
Salernitana,39,38.0,15920,13953,1906,559,27,119,596,737,148,26,66,0,12124,61,351
Sassuolo,30,38.0,15683,13729,1928,508,25,118,661,758,202,108,49,1,11978,26,290
Torino,30,38.0,18229,16507,1659,451,14,87,761,685,176,144,24,1,14578,63,300
Udinese,32,38.0,13300,11562,1681,464,24,120,556,669,157,58,74,1,9976,57,270
