Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Atalanta,32,55.3,38.0,25020,2035,6907,11325,7007,1076,25013,645,257,39.8,330,51.2,15076,80503,42064,897,696,254,574,362,17329,1808
Bologna,30,58.1,38.0,23304,2070,6703,10984,5817,831,23297,555,221,39.8,266,47.9,13684,70992,33468,639,422,167,598,361,15512,1457
Cagliari,28,44.9,38.0,19802,2531,7637,8203,4166,645,19799,552,228,41.3,274,49.6,10679,52998,25903,506,339,115,585,294,11974,1140
Como,38,54.6,38.0,23246,2359,7668,10461,5315,791,23244,622,264,42.4,288,46.3,14108,70678,35128,658,463,202,577,360,15729,1371
Empoli,34,41.7,38.0,18255,2279,6509,8088,3861,562,18252,505,212,42.0,238,47.1,8486,43445,20518,428,284,102,594,349,9986,1004
Fiorentina,34,51.0,38.0,21431,2419,7306,9857,4479,671,21423,600,270,45.0,254,42.3,12538,66795,32278,620,479,164,535,306,14051,1226
Genoa,37,45.6,38.0,20080,2523,7477,8829,3958,644,20078,505,187,37.0,260,51.5,10006,52887,25471,470,343,112,593,289,11902,967
Hellas Verona,32,38.7,38.0,17659,2055,5973,8025,3869,532,17657,508,228,44.9,233,45.9,8757,47190,22203,449,338,100,533,254,9765,998
Inter,26,59.4,38.0,26215,2510,7834,12203,6361,1048,26206,407,158,38.8,199,48.9,16253,81857,40921,694,566,155,423,242,19251,1717
Juventus,29,57.2,38.0,25202,2320,7729,11766,5913,856,25196,658,309,47.0,300,45.6,15347,86896,45140,810,558,216,568,293,18089,1548
Lazio,27,55.1,38.0,23200,2262,6760,11033,5654,928,23193,628,296,47.1,266,42.4,13530,76731,39821,774,587,189,469,310,16281,1580
Lecce,31,43.8,38.0,19445,2594,7211,8380,4085,605,19441,547,237,43.3,248,45.3,9704,52572,25490,519,349,121,572,290,11350,1062
Milan,35,53.9,38.0,22849,2115,7299,10263,5518,966,22841,721,343,47.6,309,42.9,14001,80439,44096,915,648,269,513,288,16145,1572
Monza,36,48.5,38.0,21338,2852,8271,9181,4056,480,21335,507,220,43.4,227,44.8,12954,65264,31645,533,413,89,510,334,14106,1081
Napoli,27,54.6,38.0,23892,2258,7471,11310,5295,869,23887,611,244,39.9,286,46.8,13244,69492,35365,739,443,207,473,326,16735,1530
Parma,32,44.2,38.0,19903,2706,7204,8455,4468,655,19896,587,249,42.4,276,47.0,11305,58058,29684,578,416,168,548,297,12339,1049
Roma,28,53.9,38.0,24126,2375,7151,11355,5819,861,24118,563,210,37.3,266,47.2,14077,72568,36058,691,579,162,545,283,16857,1488
Torino,31,47.5,38.0,20697,2400,6911,9482,4475,605,20693,452,169,37.4,236,52.2,12098,62802,31118,529,389,107,490,272,13424,1103
Udinese,31,47.2,38.0,20351,2410,6993,9142,4451,694,20347,623,281,45.1,294,47.2,11222,61191,29910,566,424,127,558,295,12776,1140
Venezia,36,45.1,38.0,19451,2614,7044,8341,4288,633,19445,601,248,41.3,290,48.3,10476,56455,28256,507,383,124,621,398,11442,1057
