Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Atalanta,22,26.7,53.5,6,66,540,6.0,11,8,19,11,0,0,8,1,8.6,8.6,5.9,14.5,120,243,1.83,1.33,3.17,1.83,3.17,1.43,0.98,2.41,1.43,2.41
Bologna,24,27.8,56.8,6,66,540,6.0,9,6,15,7,2,2,10,0,8.3,6.7,6.0,12.7,84,212,1.5,1.0,2.5,1.17,2.17,1.38,1.0,2.38,1.12,2.12
Cagliari,23,25.9,43.0,6,66,540,6.0,6,3,9,5,1,1,13,0,6.1,5.3,4.2,9.5,74,136,1.0,0.5,1.5,0.83,1.33,1.01,0.7,1.71,0.88,1.58
Como,21,25.7,57.7,6,66,540,6.0,7,5,12,7,0,0,17,2,7.7,7.7,5.9,13.6,105,187,1.17,0.83,2.0,1.17,2.0,1.28,0.99,2.27,1.28,2.27
Cremonese,25,28.4,43.7,6,66,540,6.0,7,5,12,6,1,1,13,0,4.3,3.5,3.3,6.9,54,141,1.17,0.83,2.0,1.0,1.83,0.72,0.55,1.27,0.59,1.14
Fiorentina,22,27.5,51.2,6,66,540,6.0,4,2,6,4,0,0,11,0,6.6,6.6,4.4,11.0,82,175,0.67,0.33,1.0,0.67,1.0,1.1,0.73,1.83,1.1,1.83
Genoa,22,26.3,47.8,6,66,540,6.0,3,2,5,3,0,0,18,0,5.8,5.8,3.9,9.7,70,143,0.5,0.33,0.83,0.5,0.83,0.96,0.65,1.62,0.96,1.62
Hellas Verona,24,26.7,40.7,6,66,540,6.0,2,1,3,1,1,1,13,0,6.6,5.8,4.6,10.4,79,165,0.33,0.17,0.5,0.17,0.33,1.09,0.77,1.86,0.96,1.73
Inter,24,29.4,61.8,6,66,540,6.0,16,15,31,16,0,0,8,0,12.5,12.5,11.3,23.7,122,326,2.67,2.5,5.17,2.67,5.17,2.08,1.88,3.96,2.08,3.96
Juventus,22,25.9,58.3,6,66,540,6.0,9,8,17,9,0,0,10,1,7.0,7.0,5.2,12.2,130,256,1.5,1.33,2.83,1.5,2.83,1.17,0.87,2.04,1.17,2.04
Lazio,23,28.2,49.7,6,66,540,6.0,10,8,18,9,1,1,11,2,8.5,7.7,7.0,14.7,70,209,1.67,1.33,3.0,1.5,2.83,1.42,1.16,2.58,1.29,2.45
Lecce,22,25.9,42.7,6,66,540,6.0,5,4,9,5,0,0,12,0,4.4,4.4,2.7,7.1,67,173,0.83,0.67,1.5,0.83,1.5,0.73,0.45,1.18,0.73,1.18
Milan,24,28.1,50.8,6,66,540,6.0,9,7,16,9,0,1,7,1,8.6,7.8,6.3,14.1,111,200,1.5,1.17,2.67,1.5,2.67,1.43,1.05,2.48,1.3,2.35
Napoli,24,29.6,61.8,6,66,540,6.0,12,6,18,10,2,2,5,0,10.3,9.7,6.7,16.5,128,300,2.0,1.0,3.0,1.67,2.67,1.72,1.12,2.84,1.62,2.74
Parma,19,24.3,46.5,6,66,540,6.0,3,1,4,2,1,1,9,0,5.9,5.1,3.6,8.7,76,149,0.5,0.17,0.67,0.33,0.5,0.98,0.6,1.58,0.85,1.45
Pisa,24,26.8,37.0,6,66,540,6.0,2,1,3,1,1,1,6,1,4.8,4.3,3.5,7.8,63,149,0.33,0.17,0.5,0.17,0.33,0.81,0.58,1.39,0.71,1.29
Roma,21,26.6,59.2,6,66,540,6.0,7,5,12,7,0,0,8,0,7.0,7.0,5.4,12.4,110,242,1.17,0.83,2.0,1.17,2.0,1.16,0.9,2.06,1.16,2.06
Sassuolo,25,26.3,43.7,6,66,540,6.0,8,6,14,7,1,2,15,1,6.7,4.9,4.0,8.9,78,163,1.33,1.0,2.33,1.17,2.17,1.11,0.66,1.78,0.82,1.49
Torino,24,27.4,44.3,6,66,540,6.0,5,4,9,5,0,1,11,0,6.2,5.4,4.2,9.6,66,193,0.83,0.67,1.5,0.83,1.5,1.03,0.7,1.74,0.9,1.6
Udinese,25,26.0,49.8,6,66,540,6.0,6,3,9,5,1,1,14,0,7.3,6.6,4.6,11.2,109,210,1.0,0.5,1.5,0.83,1.33,1.22,0.76,1.99,1.1,1.87
